,ID,RA,DEC,FWHM_R,PROB_STAR,PROB_QSO,PROB_GAL
205,b'iDR3.STRIPE82-0001.008768',0.276921506812653,-1.1717243875933994,5.193119049072266,0.0,0.0,1.0
206,b'iDR3.STRIPE82-0001.008838',0.278174209164674,-1.168920079651981,9.224526405334473,0.01,0.0,0.99
207,b'iDR3.STRIPE82-0001.008927',359.3291602417685,-1.166385764548428,5.997214317321777,0.01,0.0,0.99
208,b'iDR3.STRIPE82-0001.008960',0.6698388656061975,-1.1658420710577235,5.223932266235352,0.0,0.0,1.0
209,b'iDR3.STRIPE82-0001.009022',359.791334923913,-1.163992552980021,9.462845802307127,0.13,0.03,0.84
210,b'iDR3.STRIPE82-0001.009104',0.2664982182581218,-1.1622093252212191,12.7031831741333,0.0,0.0,1.0
211,b'iDR3.STRIPE82-0001.009201',359.6418023155752,-1.1595192845768696,5.519649505615234,0.0,0.0,1.0
212,b'iDR3.STRIPE82-0001.009237',359.4385727485827,-1.161254644455764,5.256391525268555,0.0,0.0,1.0
213,b'iDR3.STRIPE82-0001.009262',0.3922555644867977,-1.1577997771553628,5.955195426940918,0.0,0.06,0.94
214,b'iDR3.STRIPE82-0001.009287',0.6728614398323329,-1.1569009489352111,6.234348773956299,0.0,0.01,0.99
215,b'iDR3.STRIPE82-0001.009303',0.2129140816504545,-1.1566337920092162,5.188441753387451,0.02,0.0,0.98
216,b'iDR3.STRIPE82-0001.009322',0.240212364724469,-1.1561206005185145,4.340154647827148,0.0,0.0,1.0
217,b'iDR3.STRIPE82-0001.009351',359.3633455259134,-1.1578197525770884,11.515153884887695,0.0,0.0,1.0
218,b'iDR3.STRIPE82-0001.009356',0.660642344243539,-1.1549694131563768,5.854728221893311,0.0,0.0,1.0
219,b'iDR3.STRIPE82-0001.009357',359.3946292884333,-1.1551144675829437,13.049904823303224,0.0,0.0,1.0
220,b'iDR3.STRIPE82-0001.009376',359.6435161564765,-1.1544331414872542,5.960146427154541,0.03,0.0,0.97
221,b'iDR3.STRIPE82-0001.009391',0.4481272519089341,-1.1553879870009964,4.653173446655273,0.0,0.0,1.0
222,b'iDR3.STRIPE82-0001.009464',359.3320584516112,-1.1519268936913687,6.027150630950928,0.0,0.04,0.96
223,b'iDR3.STRIPE82-0001.009470',0.2880759689968546,-1.1517521367350465,7.600386619567871,0.0,0.0,1.0
224,b'iDR3.STRIPE82-0001.009502',359.9227024861683,-1.1672952395584373,4.66866397857666,0.0,0.01,0.99
225,b'iDR3.STRIPE82-0001.009546',0.5318992412144407,-1.149870326450945,6.61782169342041,0.0,0.0,1.0
226,b'iDR3.STRIPE82-0001.009615',359.74753870364424,-1.1475463915212312,7.420221328735352,0.0,0.0,1.0
227,b'iDR3.STRIPE82-0001.009641',0.3615057625113194,-1.1488502527844895,13.470366477966309,0.0,0.01,0.99
228,b'iDR3.STRIPE82-0001.009660',359.7408477972479,-1.1574238793161875,5.176653861999512,0.0,0.0,1.0
229,b'iDR3.STRIPE82-0001.009667',0.4649562907257877,-1.1459261493953754,5.192886829376221,0.0,0.0,1.0
230,b'iDR3.STRIPE82-0001.009705',0.5570947555172112,-1.144873476109879,5.016912937164307,0.02,0.0,0.98
231,b'iDR3.STRIPE82-0001.009714',359.8350785003277,-1.1446046182541727,10.069809913635254,0.0,0.0,1.0
232,b'iDR3.STRIPE82-0001.009720',0.1928317908228405,-1.1445121858048162,5.976360321044922,0.0,0.01,0.99
233,b'iDR3.STRIPE82-0001.009805',359.9822110506704,-1.142057187477012,4.954338550567627,0.02,0.0,0.98
234,b'iDR3.STRIPE82-0001.009857',359.8085437060058,-1.145733586559064,13.391656875610352,0.03,0.05,0.92
235,b'iDR3.STRIPE82-0001.009887',359.90053408836854,-1.14354207630026,14.816771507263184,0.01,0.0,0.99
236,b'iDR3.STRIPE82-0001.009928',0.2309809728817528,-1.139487289129774,4.249287128448486,0.0,0.0,1.0
237,b'iDR3.STRIPE82-0001.009964',0.625513988324556,-1.1373139737122049,10.484036445617676,0.04,0.0,0.96
238,b'iDR3.STRIPE82-0001.009966',0.0840514249844938,-1.1371802173401693,6.079107761383057,0.02,0.02,0.96
239,b'iDR3.STRIPE82-0001.009967',359.34536040018645,-1.1501562483721868,17.744491577148438,0.0,0.0,1.0
240,b'iDR3.STRIPE82-0001.010028',0.4798313715419713,-1.1352560238346474,5.374831676483154,0.13,0.02,0.85
241,b'iDR3.STRIPE82-0001.010038',359.6375833810952,-1.1448618275762708,4.7942657470703125,0.0,0.0,1.0
242,b'iDR3.STRIPE82-0001.010047',0.4774040149348456,-1.1342608264273382,7.474851608276367,0.01,0.0,0.99
243,b'iDR3.STRIPE82-0001.010056',0.0156497457176202,-1.1341832154140734,7.853073596954346,0.0,0.045,0.955
244,b'iDR3.STRIPE82-0001.010119',0.1406490795570326,-1.1340901425463028,8.72929859161377,0.0,0.0,1.0
245,b'iDR3.STRIPE82-0001.010127',0.6364693782639599,-1.1321209752691654,6.345278263092041,0.0,0.0,1.0
246,b'iDR3.STRIPE82-0001.010131',0.6866037696304007,-1.1336833435167244,5.744143962860107,0.0,0.0,1.0
247,b'iDR3.STRIPE82-0001.010151',359.8484145809343,-1.1311577599467777,8.210040092468262,0.0,0.0,1.0
248,b'iDR3.STRIPE82-0001.010212',0.6554549896694045,-1.129226872597341,7.95371675491333,0.0,0.0,1.0
249,b'iDR3.STRIPE82-0001.010228',0.1146437188336361,-1.1288761023097165,9.311872482299805,0.01,0.0,0.99
250,b'iDR3.STRIPE82-0001.010288',0.6668676759033074,-1.130697866280865,5.117241859436035,0.0,0.0,1.0
251,b'iDR3.STRIPE82-0001.010293',0.6760234195672052,-1.12936127064431,6.3389177322387695,0.0,0.0,1.0
252,b'iDR3.STRIPE82-0001.010294',0.4745330169773749,-1.1267221648421968,9.808265686035156,0.01,0.0,0.99
253,b'iDR3.STRIPE82-0001.010326',0.24601752583971,-1.1254632079760074,12.379376411437988,0.0,0.0,1.0
254,b'iDR3.STRIPE82-0001.010345',0.6763368036467479,-1.1252892545831652,5.297369956970215,0.0,0.0,1.0
255,b'iDR3.STRIPE82-0001.010354',359.5460196376345,-1.124739413493861,4.713677406311035,0.0,0.0,1.0
256,b'iDR3.STRIPE82-0001.010366',359.6365631540446,-1.1281248913796371,4.381810665130615,0.0,0.0,1.0
257,b'iDR3.STRIPE82-0001.010375',359.8178095587613,-1.1242076710313735,5.52528715133667,0.14,0.02,0.84
258,b'iDR3.STRIPE82-0001.010460',0.5193047524144173,-1.1228418281917505,12.508466720581056,0.0,0.0,1.0
259,b'iDR3.STRIPE82-0001.010465',359.4412963312193,-1.1211822313860136,7.54980993270874,0.0,0.0,1.0
260,b'iDR3.STRIPE82-0001.010514',0.3250464651155819,-1.1197033394746077,4.636826515197754,0.06,0.0,0.94
261,b'iDR3.STRIPE82-0001.010518',359.2941956868704,-1.1195864916988116,13.002364158630373,0.05,0.05,0.9
262,b'iDR3.STRIPE82-0001.010532',359.7356642485849,-1.1286477895061262,23.235837936401367,0.0,0.0,1.0
263,b'iDR3.STRIPE82-0001.010543',359.706563702859,-1.1184405991328707,5.146322727203369,0.0,0.0,1.0
264,b'iDR3.STRIPE82-0001.010640',0.3192431394852878,-1.1200734430833403,9.287793159484863,0.0,0.0,1.0
265,b'iDR3.STRIPE82-0001.010697',0.605790695647183,-1.1143676430714156,5.883402347564697,0.0,0.0,1.0
266,b'iDR3.STRIPE82-0001.010717',0.6328183095924049,-1.1206361317559927,5.301374435424805,0.0,0.0,1.0
267,b'iDR3.STRIPE82-0001.010731',359.64280218053494,-1.128963753054382,4.868199825286865,0.0,0.0,1.0
268,b'iDR3.STRIPE82-0001.010740',359.8476199952732,-1.1128101664021357,9.315618515014648,0.0,0.0,1.0
269,b'iDR3.STRIPE82-0001.010744',0.2388496468836623,-1.114784369694172,11.660147666931152,0.0,0.0,1.0
270,b'iDR3.STRIPE82-0001.010774',359.7327739672316,-1.1119957060301286,15.402288436889648,0.03,0.01,0.96
271,b'iDR3.STRIPE82-0001.010791',0.4272271260619831,-1.1114529987138426,6.166422367095947,0.0,0.0,1.0
272,b'iDR3.STRIPE82-0001.010799',0.515988012492486,-1.1112707759205946,7.84637975692749,0.01,0.0,0.99
273,b'iDR3.STRIPE82-0001.010872',0.418196995264872,-1.110268690981153,6.177779197692871,0.0,0.0,1.0
274,b'iDR3.STRIPE82-0001.010880',0.0133500340808923,-1.1129191770208278,12.07793426513672,0.0,0.0,1.0
275,b'iDR3.STRIPE82-0001.010928',0.40876375316093,-1.1073641647784604,13.937915802001951,0.0,0.0,1.0
276,b'iDR3.STRIPE82-0001.010929',0.3643120009235602,-1.107385483211583,14.789254188537598,0.0,0.0,1.0
277,b'iDR3.STRIPE82-0001.010968',0.672272879173605,-1.10617191036219,5.342438220977783,0.03,0.01,0.96
278,b'iDR3.STRIPE82-0001.010970',0.2793949714978448,-1.1062725109133884,18.5760555267334,0.01,0.0,0.99
279,b'iDR3.STRIPE82-0001.010988',0.2229467898311672,-1.1152384698190771,5.675024032592773,0.0,0.0,1.0
280,b'iDR3.STRIPE82-0001.011020',0.5033817700716694,-1.1044227327243994,13.469467163085938,0.0,0.0,1.0
281,b'iDR3.STRIPE82-0001.011050',359.90474390739365,-1.103877787616732,8.007898330688477,0.0,0.0,1.0
282,b'iDR3.STRIPE82-0001.011054',0.6045644212684248,-1.1036995474012068,11.142051696777344,0.0,0.0,1.0
283,b'iDR3.STRIPE82-0001.011064',0.4100026395810279,-1.1039314235576847,8.22935676574707,0.0,0.0,1.0
284,b'iDR3.STRIPE82-0001.011078',0.6920656664268541,-1.106459908993372,15.068351745605469,0.01,0.0,0.99
285,b'iDR3.STRIPE82-0001.011104',0.2457480609352603,-1.1080426951839526,9.221522331237791,0.0,0.0,1.0
286,b'iDR3.STRIPE82-0001.011118',0.3656501088873684,-1.1020486187364682,4.394700527191162,0.0,0.03,0.97
287,b'iDR3.STRIPE82-0001.011141',0.233462370806811,-1.1015222274979133,8.811834335327148,0.0,0.0,1.0
288,b'iDR3.STRIPE82-0001.011145',0.445385934499376,-1.104423050996175,5.423622608184815,0.0,0.0,1.0
289,b'iDR3.STRIPE82-0001.011168',0.6761549821173823,-1.100574164876878,6.084626197814941,0.03,0.0,0.97
290,b'iDR3.STRIPE82-0001.011169',0.0143106424185996,-1.1005975619299562,5.216570854187012,0.0,0.0,1.0
291,b'iDR3.STRIPE82-0001.011256',0.0917455786344931,-1.098337317176512,6.500985622406006,0.02,0.005,0.975
292,b'iDR3.STRIPE82-0001.011276',0.6179609671879357,-1.0978053619027286,11.263056755065918,0.0,0.0,1.0
293,b'iDR3.STRIPE82-0001.011282',359.728983183333,-1.097786714408424,6.97108268737793,0.01,0.0,0.99
294,b'iDR3.STRIPE82-0001.011356',0.2471690575321006,-1.0966804629379971,8.616927146911621,0.0,0.0,1.0
295,b'iDR3.STRIPE82-0001.011386',359.93528844638627,-1.100229476776762,11.007752418518066,0.0,0.0,1.0
296,b'iDR3.STRIPE82-0001.011396',0.6043162892225027,-1.0944493494832992,6.489032745361328,0.0,0.0,1.0
297,b'iDR3.STRIPE82-0001.011426',0.5123532787332001,-1.093734240427021,6.691046714782715,0.04,0.0,0.96
298,b'iDR3.STRIPE82-0001.011443',0.656909611286956,-1.0932916484052426,17.121376037597656,0.0,0.01,0.99
299,b'iDR3.STRIPE82-0001.011457',359.89870431889824,-1.0929976255317888,11.664446830749512,0.0,0.0,1.0
300,b'iDR3.STRIPE82-0001.011502',0.5251144758769654,-1.0916181064166337,5.199434280395508,0.17,0.02,0.81
301,b'iDR3.STRIPE82-0001.011576',0.2709489991338882,-1.0897680823874885,6.3309712409973145,0.01,0.0,0.99
302,b'iDR3.STRIPE82-0001.011596',359.50732893474617,-1.090069648077724,15.29804515838623,0.0,0.0,1.0
303,b'iDR3.STRIPE82-0001.011615',0.0386521341259801,-1.0888267192677128,6.772589683532715,0.0,0.0,1.0
304,b'iDR3.STRIPE82-0001.011673',0.4060164930764353,-1.0878274971727526,7.63843822479248,0.0,0.0,1.0
305,b'iDR3.STRIPE82-0001.011682',359.3267981280105,-1.0873180919176095,5.088533401489258,0.0,0.0,1.0
306,b'iDR3.STRIPE82-0001.011845',0.1084271822722332,-1.0815843331245567,4.828794002532959,0.04,0.0,0.96
307,b'iDR3.STRIPE82-0001.011890',0.4564688023018818,-1.080315297008207,13.506800651550291,0.0,0.0,1.0
308,b'iDR3.STRIPE82-0001.011901',0.4890009481855529,-1.0802072779157312,5.593899726867676,0.01,0.0,0.99
309,b'iDR3.STRIPE82-0001.011926',359.45413352989414,-1.079874441806267,9.669808387756348,0.01,0.0,0.99
310,b'iDR3.STRIPE82-0001.011945',0.5112201245019689,-1.0857754911993165,5.368116855621338,0.0,0.0,1.0
311,b'iDR3.STRIPE82-0001.011983',359.7818175814426,-1.07785278377764,11.765515327453612,0.0,0.0,1.0
312,b'iDR3.STRIPE82-0001.012039',0.4083209685996166,-1.076071559371545,4.5541205406188965,0.0,0.0,1.0
313,b'iDR3.STRIPE82-0001.012044',0.5550781731833884,-1.0758127279253231,4.77753210067749,0.01,0.015,0.975
314,b'iDR3.STRIPE82-0001.012059',0.5574540058611257,-1.0764568320038477,7.008635520935059,0.0,0.0,1.0
315,b'iDR3.STRIPE82-0001.012097',359.9060676953704,-1.0740056460926422,12.7681303024292,0.0,0.0,1.0
316,b'iDR3.STRIPE82-0001.012126',0.270655934699174,-1.0733380439451383,5.4189453125,0.03,0.0,0.97
